invoice_number,invoice_date,total_amount,vendor_name,currency,invoice_number_length,invoice_age_days,ocr_text_length,blur_flag,failure_label
INVOICE,2007-09-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6649,0,0,1
INVOICE,1994-01-03,2.14,Address:4894 Melanie Pass Apt. 742,USD,7,11642,0,0,0
INVOICE,2014-01-16,53.1,Address:4894 Melanie Pass Apt. 742,USD,7,4324,0,0,0
,2014-01-15,289.16,Address:4894 Melanie Pass Apt. 742,USD,3,4325,0,0,1
INVO7820771,2015-12-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,3618,0,0,1
,1995-02-12,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,11237,0,0,1
INVOICE,1998-12-16,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,9834,0,0,1
INVOICE,2007-07-26,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6690,0,0,1
INVOICE,2000-02-29,50.08,Address:4894 Melanie Pass Apt. 742,USD,7,9394,0,0,0
INVOICE,2007-10-17,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6607,0,0,1
INVOICE,2021-11-16,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1463,0,0,1
INVOICE,2002-02-26,90.74,Address:4894 Melanie Pass Apt. 742,USD,7,8666,0,0,0
INVOICE,2017-01-08,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3236,0,0,1
INVOICE,2022-05-08,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1290,0,0,1
INVOICE,2007-07-04,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6712,0,0,1
INVOICE,1997-05-04,411.06,Address:4894 Melanie Pass Apt. 742,USD,7,10425,0,0,0
INVOICE,2006-12-08,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6920,0,0,1
,1995-09-02,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,11035,0,0,1
INVOICE,2016-12-15,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3260,0,0,1
,2007-01-24,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,6873,0,0,1
INVOICE,2013-06-19,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,4535,0,0,1
INVOICE,2015-01-11,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3964,0,0,1
,2022-04-27,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,1301,0,0,1
INVOICE,2015-03-07,240.16,Address:4894 Melanie Pass Apt. 742,USD,7,3909,0,0,0
INVOICE,2021-11-08,550.0,Address:4894 Melanie Pass Apt. 742,USD,7,1471,0,0,0
INVOICE,2016-04-09,1.52,Address:4894 Melanie Pass Apt. 742,USD,7,3510,0,0,0
INVOICE,2018-07-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2692,0,0,1
INVOICE,1998-03-27,68.09,Address:4894 Melanie Pass Apt. 742,USD,7,10098,0,0,0
,1997-12-30,65.02,Address:4894 Melanie Pass Apt. 742,USD,3,10185,0,0,1
INVOICE,2020-01-03,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2146,0,0,1
,2008-02-15,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,6486,0,0,1
INVOICE,1993-07-12,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,11817,0,0,1
,2018-01-17,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,2862,0,0,1
INVOICE,2004-08-02,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7778,0,0,1
INVOICE,2006-12-01,125.07,Address:4894 Melanie Pass Apt. 742,USD,7,6927,0,0,0
INVOICE,2009-04-18,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6058,0,0,1
INVOICE,2017-06-22,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3071,0,0,1
,1993-07-07,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,11822,0,0,1
,2015-03-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,3910,0,0,1
INVOICE,2009-10-21,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5872,0,0,1
INVOICE,2003-09-02,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,8113,0,0,1
INVOICE,2018-09-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2613,0,0,1
INVOICE,2005-07-16,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7430,0,0,1
INVOICE,1997-09-08,80.08,Address:4894 Melanie Pass Apt. 742,USD,7,10298,0,0,0
,2023-01-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,1048,0,0,1
INVOICE,1996-03-27,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,10828,0,0,1
INVOICE,2023-01-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1047,0,0,1
INVOICE,2002-10-03,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,8447,0,0,1
INVOICE,2003-08-22,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,8124,0,0,1
INVOICE,2017-03-14,104.64,Address:4894 Melanie Pass Apt. 742,USD,7,3171,0,0,0
INVOICE,2011-02-27,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5378,0,0,1
,2011-07-29,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,5226,0,0,1
INVOICE,2020-02-04,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2114,0,0,1
INVOICE,2020-12-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1791,0,0,1
INVOICE,2004-12-12,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7646,0,0,1
